Wall time,Step,Value
1591651513,0,0.752939582
1591652570,1,0.834246397
1591653622,2,0.850614667
1591654691,3,0.861771762
1591655759,4,0.869187593
1591657016,5,0.873864233
1591658280,6,0.919027269
1591659542,7,0.942410469
1591660802,8,0.955304623
1591662065,9,0.960515738
1591663330,10,0.969200969
1591664592,11,0.974078059
1591665858,12,0.977418482
1591667125,13,0.98002404
1591668394,14,0.983698547
1591669665,15,0.983965814
1591670930,16,0.984567106
1591672194,17,0.987506688
1591673454,18,0.987907529
1591674720,19,0.989310503