step,train_accuracy,Validation_accuracy,train_loss,validation_loss
1,0,,2.5308,
2,0.3479,0.4547,2.2002,1.5844
3,0.4276,0.446,1.623,1.6068
4,0.4419,0.4556,1.6415,1.5911
5,0.423,0.5007,1.6766,1.5662
6,0.4051,0.4659,1.7542,1.6603
7,0.4001,0.436,1.7378,1.6374
8,0.39,0.4237,1.7427,1.822
9,0.3894,0.4338,1.7293,1.7484
10,0.3764,0.4535,1.7534,1.6717
11,0.3518,0.3693,1.83,2.2659
12,0.3429,0.4338,2.0235,1.6782
13,0.342,0.405,1.7941,1.8789
14,0.3191,0.3415,1.8998,1.945
15,0.3199,0.3273,1.9973,1.8669
16,0.3237,0.3607,2.0601,2.3403
17,0.3131,0.3693,3.0419,1.7232
18,0.3067,0.2827,2.0002,3.6952
19,0.3062,0.3597,1.9482,1.9989
20,0.3101,0.3376,1.8952,1.7828
21,0.3025,0.3221,1.8884,1.7999